,Kraton Yogyakarta,Taman Sari Water Castle,Benteng Vredeburg Museum,Tugu Yogyakarta,Malioboro Street,Pasar Beringharjo,Museum Sonobudoyo,Alun-Alun Kidul,Alun-Alun Utara,Taman Pintar Science Park,Kebun Binatang Gembira Loka,Museum Affandi,Kotagede Heritage Area,Monumen Jogja Kembali,Purawisata,Candi Prambanan,Candi Ratu Boko,Tebing Breksi,Museum Ullen Sentalu,Candi Borobudur,Pantai Parangtritis,Hutan Pinus Mangunan,Goa Pindul,Pantai Indrayanti,HeHa Sky View
Kraton Yogyakarta,0.0,1256.3296763411313,670.9692291001841,3116.688455468971,1546.2616850992783,1292.040255439237,567.823244481449,1669.542054589316,447.00769436508676,783.4603660886911,4215.712229654909,5659.3182484663075,5774.461001954717,7689.29905845348,1496.2048401784295,17810.266450738105,17670.737697404613,19316.434673561096,25448.91683073785,33802.904500924786,27441.452807156576,20924.38437083084,43490.05164819097,61655.79175861179,15633.728859978035
Taman Sari Water Castle,1256.3296763411315,0.0,1693.0982412553049,4081.88845740938,2568.390697254399,2314.1692675943577,1589.9522566365697,914.230010500484,1374.0836758398384,1805.5893782438118,5391.122470351153,6741.697665051978,6170.063516425113,8680.398937918464,2671.6150808746734,18892.64586732377,18753.117113990284,20398.814090146763,26471.045842892974,33459.81467293312,26440.78291740231,21288.89127714682,44367.387476608856,62020.29866492777,16511.064688395916
Benteng Vredeburg Museum,670.9692291001841,1693.098241255305,0.0,2652.011195606257,1081.5844252365644,827.362995576523,103.1459846187351,1817.4241124117318,328.3986657489178,118.89349203299976,3698.0242290958518,5116.315286924006,5582.35383032934,7224.621798590766,978.5168396193685,17267.26348919581,17127.734735862312,18773.43171201879,24984.239570875136,33505.89934627261,27420.780960808333,20903.712524482595,42972.36364763189,61203.0616749532,15116.040859418976
Tugu Yogyakarta,3116.688455468971,4081.888457409381,2652.0111956062565,0.0,1570.4267703696921,2357.483702297833,2548.8652109875216,4207.857834908233,2774.1178921177043,2712.7691768424033,5303.435344978845,3367.22761480921,7528.024355379087,4625.715712109327,2798.5533504652867,15518.175817081015,15378.647063747521,17024.344039903994,22593.458692890745,31648.325833346862,29472.95573956252,22955.88730323677,44574.35678458116,62805.05481190247,16718.03399636823
Malioboro Street,1546.2616850992783,2568.390697254399,1081.5844252365644,1570.4267703696917,0.0,813.1110778166758,978.4384406178292,2692.716568410826,1203.691121748012,1194.0755622250713,4276.023435440935,4272.61027665493,6342.38622757939,6143.037373354201,1612.9152226655874,16423.558478926734,16284.029725593242,17929.726701749714,23902.65514563857,32627.310803067707,28287.31761176282,21770.24917543708,43550.362853977,61781.0608812983,15694.040065764062
Pasar Beringharjo,1292.040255439237,2314.1692675943577,827.362995576523,2357.4837022978327,813.1110778166758,0.0,724.2170109577878,2438.4951387507845,949.4696920879705,939.8541325650299,4057.4344046800547,4670.987709571696,6123.797196818509,6925.9577803940765,1394.3261919047059,16821.935911843502,16682.407158510006,18328.10413466648,24685.57555267845,33284.90107529825,28068.72858100194,21551.6601446762,43331.77382321611,61562.471850537404,15475.451035003178
Museum Sonobudoyo,567.823244481449,1589.95225663657,103.1459846187351,2548.865210987522,978.4384406178293,724.2170109577879,0.0,1714.2781277929964,225.2526811301827,215.63712160724208,3801.170213714586,5151.74540841541,5685.499814948075,7121.475813972032,1081.6628242381037,17302.693610687216,17163.164857353717,18808.861833510196,24881.093586256404,33402.75336165387,27486.188880360256,20969.12044403452,43075.50963225063,61306.20765957193,15219.18684403771
Alun-Alun Kidul,1669.5420545893157,914.2300105004842,1817.4241124117316,4207.857834908232,2692.7165684108254,2438.4951387507845,1714.2781277929964,0.0,1595.7216462921904,1929.9152494002385,5077.7558233707,6521.361842182097,5475.9972771115545,8776.33191300448,2358.24843389422,18672.31004445389,18532.781291120402,20178.47826727688,26535.94968528885,34361.07629589464,27111.893474159,20594.825037833263,43673.321237295284,61326.23242561421,15816.998449082357
Alun-Alun Utara,447.0076943650869,1374.0836758398382,328.3986657489178,2774.1178921177047,1203.691121748012,949.4696920879705,225.2526811301827,1595.7216462921904,0.0,440.8898027374248,4026.4228948447685,5376.998089545592,5700.640593657591,7346.728495102214,1306.9155053682862,17527.946291817392,17388.417538483896,19034.11451464038,25106.346267386583,33628.00604278405,27367.632398859452,20850.563962533713,43300.76231338081,61531.46034070211,15444.43952516789
Taman Pintar Science Park,783.460366088691,1805.589378243812,118.89349203299976,2712.7691768424033,1194.0755622250713,939.8541325650299,215.63712160724208,1929.915249400239,440.8898027374248,0.0,3590.535594504881,5026.273184116266,5474.865195738369,7281.243254938647,871.0282050283978,17177.22138638807,17037.692633054576,18683.389609211055,25040.861027223018,33618.390483261115,27303.319197709654,20786.250761383915,42864.87501304093,61095.57304036223,15008.552224828005
