,Kraton Yogyakarta,Taman Sari Water Castle,Benteng Vredeburg Museum,Tugu Yogyakarta,Malioboro Street,Pasar Beringharjo,Museum Sonobudoyo,Alun-Alun Kidul,Alun-Alun Utara,Taman Pintar Science Park,Kebun Binatang Gembira Loka,Museum Affandi,Kotagede Heritage Area,Monumen Jogja Kembali,Purawisata,Candi Prambanan,Candi Ratu Boko,Tebing Breksi,Museum Ullen Sentalu,Candi Borobudur,Pantai Parangtritis,Hutan Pinus Mangunan,Goa Pindul,Pantai Indrayanti,HeHa Sky View
Kraton Yogyakarta,0.0,759.2963620893468,590.2794046412179,2498.7600912675116,1437.0426391707385,803.2268948888844,391.6690411670119,748.9864012970621,259.51690257729365,616.4602059038233,3426.28448506059,4441.261800900525,4482.829315934744,6301.406221833392,1130.6161375298127,15215.568550273121,14307.511013959574,16168.400314189646,23398.735759222258,28189.991294874122,24825.559623365625,15795.592953393854,35506.181092781546,47133.205887328506,11331.225082599014
Taman Sari Water Castle,759.2963620893468,0.0,1313.2172638253112,3122.816824608297,2085.128873962809,1501.2444196705796,1043.158204581541,523.3075037306703,928.7912881504249,1361.7084600202868,4006.9054550646024,5193.11107795568,4717.348656213616,6944.6888698654475,1866.3473883601669,15928.646669362392,14983.556481491267,16853.132022097732,24062.702268481902,28261.770358573413,24222.27373686685,15606.782037700017,35759.760483278595,47034.56172642156,11579.8377780213
Benteng Vredeburg Museum,590.2794046412179,1313.2172638253112,0.0,1926.8243078468033,867.3204278275119,222.38985328909297,294.21155464185426,1329.8127704377528,385.8450483657387,112.3882832556244,3281.2035078693043,3975.937647317046,4655.611251257413,5715.986605101757,829.902912823348,14822.817297341799,13974.21134694248,15820.649319817863,22809.076327645907,27885.831176955846,25407.115626654457,16201.051899946231,35592.539273349554,47472.54007892157,11444.139550588518
Tugu Yogyakarta,2498.7600912675116,3122.816824608297,1926.8243078468033,0.0,1062.0811735656414,1704.8456961583627,2119.9824037819985,3247.6238992082303,2251.667690679883,1945.9112162797855,4004.437995585563,3338.634314023521,6012.87183039431,3821.890694688347,2125.7532715867083,14132.555429986834,13535.755614081572,15305.973391343,20941.972691962357,26512.86279432716,27322.054169694442,17903.230894032316,36455.68185405756,48999.91208349723,12487.99320183672
Malioboro Street,1437.0426391707385,2085.128873962809,867.3204278275119,1062.0811735656414,0.0,644.930574538419,1062.1351856628846,2185.7223788288597,1192.4374324795542,896.355247399961,3541.329801052373,3623.151160241719,5256.904531203293,4870.600099851511,1255.3941933083156,14531.188762300566,13793.732201476569,15609.67910185298,21980.976557818238,27225.864609432465,26261.990587808843,16983.43695419826,36014.61830615308,48185.6785191044,11927.826509646991
Pasar Beringharjo,803.2268948888844,1501.2444196705796,222.38985328909297,1704.8456961583627,644.930574538419,0.0,458.47991982175716,1548.0663429639992,576.0802856998225,268.2906641282171,3328.351986132535,3870.0458962123207,4802.039112890157,5498.569562223193,879.1014893668354,14743.72733105519,13923.007867082602,15762.274512748414,22596.46251896125,27715.519705750914,25626.234600460684,16400.84901866267,35699.231642064406,47654.90863077261,11563.889876201041
Museum Sonobudoyo,391.6690411670119,1043.158204581541,294.21155464185426,2119.9824037819985,1062.1351856628846,458.47991982175716,0.0,1134.6696639695924,133.4339119734558,381.0164712970824,3495.8326665713776,4269.23492115288,4741.776906248367,5932.646607532966,1072.3040801834904,15109.288573086646,14249.666610916318,16099.233728817646,23040.072222134648,27860.005001142094,25202.080210008597,16161.13690188081,35726.85241329059,47475.775425245,11563.918208660221
Alun-Alun Kidul,748.9864012970621,523.3075037306703,1329.8127704377528,3247.6238992082303,2185.7223788288597,1548.0663429639992,1134.6696639695924,0.0,1001.299905804598,1335.608043632543,3574.7611896059775,4962.412236550415,4194.145812799673,7045.798965441204,1646.1171503134608,15590.499409633303,14600.311656046484,16478.136239150892,24134.074650338327,28726.768396821215,24078.219387288686,15177.92100379168,35236.583914332994,46574.73688003586,11056.547860959714
Alun-Alun Utara,259.51690257729365,928.7912881504249,385.8450483657387,2251.667690679883,1192.4374324795542,576.0802856998225,133.4339119734558,1001.299905804598,0.0,448.94816646633785,3482.219630403577,4337.839010693508,4663.208708943073,6062.278930142082,1091.5021075433244,15158.681419678196,14282.927944185169,16136.402445446463,23167.417115996435,27963.43366111165,25070.449101089445,16042.632785760157,35664.21394620028,47366.99537138904,11496.218928496743
Taman Pintar Science Park,616.4602059038233,1361.7084600202868,112.3882832556244,1945.9112162797855,896.355247399961,268.2906641282171,381.0164712970824,1335.608043632543,448.94816646633785,0.0,3168.835286614584,3892.1664227746305,4557.393458555359,5716.130799982811,718.2336774396872,14728.310634677851,13872.575234492799,15720.610991551746,22798.468197896866,27973.612794458364,25404.360845666968,16132.669428994086,35485.134445211894,47391.213920754875,11339.075357804682
