iteration,avg_best_distance
1,310790.5860371047
2,308291.2050252205
3,306278.84244035656
4,305377.47903748316
5,304007.87426741776
6,303663.21142025973
7,302953.82701378595
8,302538.7698631299
9,301754.78594647715
10,301582.0354426055
11,301340.43689081335
12,300780.82654165576
13,300409.1120972267
14,300336.0203293076
15,299653.2517834277
16,298993.0049872663
17,298993.0049872663
18,298993.0049872663
19,298676.1056599188
20,298539.52744889935
21,298173.6113365769
22,297823.97764540586
23,297777.21562382166
24,297630.43625100126
25,297390.0192398422
26,297244.71409210743
27,297235.0340453846
28,297155.75769523217
29,296960.0968759792
30,296908.58131017355
31,296908.58131017355
32,296633.659185893
33,296546.75272700336
34,296546.00890573737
35,296240.7765611716
36,296209.96216339257
37,295882.0019662871
38,295546.9270571301
39,295338.24909265456
40,295338.24909265456
41,294834.823493122
42,294834.823493122
43,294629.20904727274
44,294468.2349533989
45,294402.6288774306
46,294398.604679283
47,294353.99314713816
48,294353.99314713816
49,293963.97917055537
50,293708.9053168036
51,293692.7474350469
52,293350.13063894195
53,293307.51089998963
54,293307.51089998963
55,293307.51089998963
56,293307.51089998963
57,293307.51089998963
58,293307.51089998963
59,293195.5062093061
60,293174.8052590986
61,293060.066277594
62,293058.19858900626
63,292870.8861695586
64,292863.1212492523
65,292710.48957944085
66,292634.9216479545
67,292545.1669182991
68,292469.03197222674
69,292376.47514762223
70,291684.7804472036
71,291684.7804472036
72,291648.9014739087
73,291498.64634404884
74,291362.07530176634
75,291362.07530176634
76,291231.41003890516
77,291023.4479675118
78,290806.74098958384
79,290764.49864562514
80,290508.175191435
81,290417.6663371601
82,290417.6663371601
83,290397.12852980994
84,290167.01352665457
85,290167.01352665457
86,289968.76537922776
87,289967.24244562903
88,289951.719789949
89,289951.719789949
90,289812.5438801813
91,289728.6328541628
92,289711.41165204445
93,289711.41165204445
94,289634.53675460746
95,289634.53675460746
96,289634.53675460746
97,289216.3814320767
98,289104.2774449807
99,289065.8296840315
100,288980.94906198216
101,288980.94906198216
102,288973.03336631623
103,288815.01712693577
104,288815.01712693577
105,288815.01712693577
106,288807.543164278
107,288703.3608613817
108,288703.3608613817
109,288631.697478276
110,288631.697478276
111,288340.7900776717
112,288299.9289565233
113,288197.2000073551
114,288141.63277682825
115,288097.2724922579
116,288086.45326204103
117,287910.706888715
118,287777.34307682666
119,287723.4737892256
120,287698.25588525314
121,287698.25588525314
122,287698.25588525314
123,287698.25588525314
124,287558.261166803
125,287558.261166803
126,287558.261166803
127,287451.03745372785
128,287428.68945682957
129,287376.23020999815
130,287326.42887943826
131,287286.5938728119
132,287286.5938728119
133,287283.377069743
134,287203.23245212756
135,287203.23245212756
136,287203.23245212756
137,287203.23245212756
138,287129.4934589847
139,287129.4934589847
140,287011.3793078831
141,286959.77475213335
142,286939.3381849909
143,286786.3707980318
144,286777.6801427908
145,286777.6801427908
146,286740.45497597486
147,286740.45497597486
148,286740.45497597486
