alpha,beta,rho,mean_distance,std_distance,best_distance,worst_distance,mean_time
0.5,2.0,0.02,291961.5848822005,1628.1322899013173,289746.0009524463,294455.4239198079,4.234684038162231
0.5,2.0,0.05,288414.0342626124,669.9428248638759,287568.1422583778,289269.62063839356,4.206340789794922
0.5,2.0,0.1,287878.65177195997,1027.2247218011412,286515.7876495078,289520.77756388154,4.758655166625976
0.5,3.0,0.02,287650.0988851296,1164.1679974930153,286282.29464444646,289342.36609649804,5.879230785369873
0.5,3.0,0.05,287116.25804033806,898.7796394488898,285733.4379242351,288366.52448795165,5.729616975784301
0.5,3.0,0.1,286533.2438627387,734.698497551372,285514.42222704296,287729.4208739323,4.793759775161743
0.5,5.0,0.02,286357.71339189133,1280.367845758479,285025.0476583075,288475.0201752615,6.109827470779419
0.5,5.0,0.05,285491.138061721,822.5692401108482,284581.37126927375,286872.8499375459,6.569900941848755
0.5,5.0,0.1,285525.53095882403,507.93160686138856,285025.0476583075,286478.4830419653,5.302486753463745
1.0,2.0,0.02,285890.59633290017,691.1687239920476,284544.5474694158,286429.0845248864,6.375222301483154
1.0,2.0,0.05,284099.06589726196,412.1263575570109,283772.8971088518,284913.5429864933,6.638209533691406
1.0,2.0,0.1,283901.3324372303,69.92805284917121,283761.47633153194,283936.29646365496,8.02251353263855
1.0,3.0,0.02,286416.91600091977,1091.87387766457,284977.5748252431,287941.3977421457,7.640826034545898
1.0,3.0,0.05,284044.2283676267,392.3484417771132,283761.47633153194,284814.17547044,7.466606903076172
1.0,3.0,0.1,283883.84093928395,104.87943391480997,283761.4763315319,284023.65910604625,6.838757133483886
1.0,5.0,0.02,284412.07662483293,420.90102510985,283936.29646365496,285025.0476583075,10.191718292236327
1.0,5.0,0.05,283936.29646365496,0.0,283936.29646365496,283936.29646365496,8.991033411026
1.0,5.0,0.1,283936.29646365496,4.5087460267909535e-11,283936.2964636549,283936.29646365496,6.064931440353393
2.0,2.0,0.02,284106.41428424494,594.5967941618089,283761.4763315319,285288.50440833403,5.445853805541992
2.0,2.0,0.05,283923.3543071685,132.23858697346702,283761.4763315319,284035.07988336607,5.277146673202514
2.0,2.0,0.1,283936.2774941869,165.82894435493617,283761.4763315319,284198.47923816915,6.039769315719605
2.0,3.0,0.02,284419.4902166541,835.7473516107457,283761.4763315319,285776.55365304736,5.961231994628906
2.0,3.0,0.05,285408.3461163435,1397.919628535193,283761.4763315319,286900.21481566806,5.739859247207642
2.0,3.0,0.1,283918.8049657085,85.63240902724685,283761.4763315319,284023.65910604614,4.886634302139282
2.0,5.0,0.02,284283.06166370923,693.5304001085634,283936.29646365484,285670.1224639263,5.618432140350341
2.0,5.0,0.05,284267.10998934676,540.1657727013728,283936.29646365484,285328.1813176,4.9926526069641115
2.0,5.0,0.1,283901.3324372303,69.92805284917121,283761.47633153194,283936.29646365496,4.997807264328003
