algorithm,run,seed,best_distance_m,time_seconds
MMAS,1,42.0,283936.2964636549,18.484016180038452
MMAS,2,43.0,283936.29646365496,19.06575083732605
MMAS,3,44.0,283772.8971088519,19.428616285324097
MMAS,4,45.0,283936.29646365484,11.775605916976929
MMAS,5,46.0,283772.8971088518,10.745636224746704
MMAS,6,47.0,283761.47633153194,10.657929182052612
MMAS,7,48.0,283936.29646365484,10.864956855773926
MMAS,8,49.0,283761.47633153194,12.699992895126343
MMAS,9,50.0,283772.8971088518,15.017376184463501
MMAS,10,51.0,283936.29646365496,11.432256937026978
MMAS,11,52.0,283936.2964636549,11.181498050689697
MMAS,12,53.0,283936.2964636549,14.770071983337402
MMAS,13,54.0,283936.2964636549,16.85196805000305
MMAS,14,55.0,283936.2964636549,14.168887615203857
MMAS,15,56.0,285951.37378517044,25.491708755493164
MMAS,16,57.0,283772.8971088518,13.550960063934326
MMAS,17,58.0,283761.47633153194,22.55696201324463
MMAS,18,59.0,283772.8971088518,20.29125714302063
MMAS,19,60.0,283936.29646365496,15.975897073745728
MMAS,20,61.0,283772.8971088518,23.363194942474365
MMAS,21,62.0,283772.8971088519,16.34934091567993
MMAS,22,63.0,283772.8971088518,21.546884059906006
MMAS,23,64.0,283772.8971088519,21.96807098388672
MMAS,24,65.0,283936.2964636549,17.2088680267334
MMAS,25,66.0,283761.47633153194,27.45740795135498
MMAS,26,67.0,285188.6829431107,12.560574054718018
MMAS,27,68.0,283772.8971088519,10.790377855300903
MMAS,28,69.0,283936.2964636549,10.84905195236206
MMAS,29,70.0,283761.47633153194,11.808570146560669
MMAS,30,71.0,283936.29646365496,11.617773056030273
ACS,1,42.0,283936.29646365496,5.742469787597656
ACS,2,43.0,283936.29646365496,5.694548845291138
ACS,3,44.0,287729.4208739323,5.692227840423584
ACS,4,45.0,287729.4208739323,5.982448101043701
ACS,5,46.0,283772.8971088518,6.031545877456665
ACS,6,47.0,283936.29646365496,6.324232816696167
ACS,7,48.0,283936.29646365496,8.20426607131958
ACS,8,49.0,287729.4208739323,7.441948890686035
ACS,9,50.0,283772.8971088518,6.053662061691284
ACS,10,51.0,283936.29646365496,6.840112209320068
ACS,11,52.0,283936.29646365496,6.5337488651275635
ACS,12,53.0,287375.67652382096,11.90569806098938
ACS,13,54.0,283936.29646365496,14.01366400718689
ACS,14,55.0,287729.42087393225,7.507765054702759
ACS,15,56.0,283936.29646365496,5.781832933425903
ACS,16,57.0,283936.29646365496,5.655153036117554
ACS,17,58.0,283936.29646365496,5.634418964385986
ACS,18,59.0,287729.4208739323,5.702232122421265
ACS,19,60.0,283936.29646365496,5.766932964324951
ACS,20,61.0,283936.29646365496,5.68637490272522
ACS,21,62.0,283936.29646365496,5.680320739746094
ACS,22,63.0,283936.29646365496,5.553228139877319
ACS,23,64.0,283936.29646365496,5.563316106796265
ACS,24,65.0,285014.895133356,5.520240783691406
ACS,25,66.0,283936.29646365496,5.518809080123901
ACS,26,67.0,283772.8971088518,5.526499032974243
ACS,27,68.0,286900.02008328924,5.560467958450317
ACS,28,69.0,285328.1813176,5.533436298370361
ACS,29,70.0,283936.29646365496,5.542214870452881
ACS,30,71.0,284198.4792381692,5.6311869621276855
GA,1,42.0,301533.0877070222,3.285655975341797
GA,2,43.0,299054.4248158722,3.360081195831299
GA,3,44.0,298786.9737009104,3.363800048828125
GA,4,45.0,298834.2341606753,3.2308528423309326
GA,5,46.0,294547.9588454336,3.557255983352661
GA,6,47.0,285971.0424632284,3.728701114654541
GA,7,48.0,299514.4281496624,5.6092681884765625
GA,8,49.0,299892.13668869954,7.865502834320068
GA,9,50.0,285940.69396786,7.528410911560059
GA,10,51.0,297682.75964686845,5.577494144439697
GA,11,52.0,301631.04470305075,4.273137807846069
