algorithm,run,tour,distance_m
MMAS,1,13 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 11 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19,284850.2275261845
MMAS,2,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
MMAS,3,22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16,283936.2964636549
MMAS,4,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
MMAS,5,13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
MMAS,6,12 -> 10 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20,283772.8971088519
MMAS,7,13 -> 11 -> 3 -> 4 -> 5 -> 2 -> 9 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
MMAS,8,18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 11 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 5 -> 4 -> 3 -> 13 -> 19,284035.0798833662
MMAS,9,18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19,283772.8971088519
MMAS,10,13 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 11 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,285025.04765830754
MMAS,11,22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16,283936.2964636549
MMAS,12,13 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 11 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,285025.04765830754
MMAS,13,11 -> 3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13,283936.29646365496
MMAS,14,3 -> 4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11,283936.29646365496
MMAS,15,5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 4 -> 3 -> 13 -> 11 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,286707.7508789491
MMAS,16,24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16,283772.8971088518
MMAS,17,13 -> 3 -> 4 -> 2 -> 6 -> 8 -> 5 -> 9 -> 0 -> 1 -> 7 -> 14 -> 11 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 17 -> 16 -> 15 -> 18 -> 19,286279.0562629865
MMAS,18,13 -> 11 -> 3 -> 4 -> 5 -> 2 -> 9 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19,283936.29646365496
MMAS,19,4 -> 5 -> 6 -> 2 -> 9 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3,283936.29646365496
